# Signal Ledger v1 timestamp corrections — docs/SIGNAL-LEDGER.md §8.1 and §11.
#
# One line per ledger row that the pre-fix append path stored with PublishedAtUtc rounded to SQL
# datetime precision (1/300 s). CommittedPublishedAtUtc is the timestamp the row was hashed with,
# recovered from its EntryHash; the verifier requires every line to reproduce that hash exactly.
# The highest SeqNo listed is the §8.1 cutover: every later row must recompute exactly.
#
# APPEND-ONLY. Lines are generated, never typed: the SignalLedgerChain Supervisor check prints the
# exact lines for any legacy row not yet listed. Copy them in verbatim, in SeqNo order. Never edit or
# remove an existing line — a change here is as visible in git as a change to the ledger would be.
#
# Empty until the precision fix is deployed: rows keep arriving through the old append path until
# then, so the cutover is not known before that.
SeqNo,EntryHash,StoredPublishedAtUtc,CommittedPublishedAtUtc
19,81957637ff6592b9388090a900392ebc530c13b1b62cd464a2aec40c933dccfc,2026-08-26T23:30:51.7766667Z,2026-08-26T23:30:51.7754764Z
20,5503cb926297abc872b48c78c3233afcabf8df9d79e0e0a7de370c50a7f1e3ea,2026-09-02T23:37:51.2300000Z,2026-09-02T23:37:51.2289998Z
21,fb9c63f3e064e243d043ce1ce5c4e35a76fc192b38d88a5401e250bf0ba547d3,2026-09-02T23:37:51.9666667Z,2026-09-02T23:37:51.9658068Z
22,661fb3d47f90ecfc841787b7b67543bb0d4076fd6fb6d1f90cbe04f950424953,2026-09-02T23:37:53.4533333Z,2026-09-02T23:37:53.4534557Z
23,41250f36c25f5758168361cbaf7930778b79a660a3193fdd1153aab5caca7e2b,2026-09-07T23:06:34.8600000Z,2026-09-07T23:06:34.8601272Z
24,828a2c1f6fc18b6648333e4a3786a0eecad79bf13e38c43eea0334969d652752,2026-09-07T23:07:11.5733333Z,2026-09-07T23:07:11.5720556Z
25,13056193b32beed5475703a41c241ed9a6da0f4e6952e5d24f7da0c2bccfb36b,2026-09-08T23:06:38.4833333Z,2026-09-08T23:06:38.4824226Z
26,82a3ee7e105d1e5afd7265886d198d214f6d3675c69776594a0e5197dfe134d8,2026-09-10T23:06:03.9933333Z,2026-09-10T23:06:03.9931040Z
27,67138e2486d8db9d5092265e6ae4cc8652b42227b3fabdb98acf8bddf03938f4,2026-09-10T23:38:57.4866667Z,2026-09-10T23:38:57.4868731Z
28,dd11a026cd1b6ec6bbce34831730302f9005d56b7e5e03fd53c68f8d38554102,2026-09-11T15:59:32.2733333Z,2026-09-11T15:59:32.2720092Z
29,ab2b967cbc07a7d4705873a9476131184e0ab6e0ce62423c438a4d8b767a5eca,2026-09-11T23:05:50.8000000Z,2026-09-11T23:05:50.8011672Z
30,0121ad285c392a68601c7878bb6523a0b32cfad7082a17f93871f14b7d86ffd6,2026-09-11T23:06:25.2700000Z,2026-09-11T23:06:25.2694070Z
31,fe2061e2b373b6a244762a890ac83fd6ee916417ec38c5935abdb301e0ea278d,2026-09-11T23:06:47.3933333Z,2026-09-11T23:06:47.3930920Z
32,2c94a4ca2784178497231ddc2959ebb7c831d9c6cb1f02fbfd8019b5e4ac079e,2026-09-11T23:33:33.6466667Z,2026-09-11T23:33:33.6483173Z
